"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 19 00:48:09 GMT 2024","Fri Jan 19 00:48:15 GMT 2024","5754","","","","","","Validate Council Output [CrawleyBoroughCouncil-None-None]",""
"passed","Fri Jan 19 00:48:43 GMT 2024","Fri Jan 19 00:48:43 GMT 2024","823","","","","","","Validate Council Output [NorthLanarkshireCouncil-None-None]",""
"failed","Fri Jan 19 00:48:08 GMT 2024","Fri Jan 19 00:48:08 GMT 2024","164","","","","","","Validate Council Output [BoltonCouncil-http://selenium:4444-local]",""
"failed","Fri Jan 19 00:48:20 GMT 2024","Fri Jan 19 00:48:20 GMT 2024","195","","","","","","Validate Council Output [EastSuffolkCouncil-http://selenium:4444-local]",""
"passed","Fri Jan 19 00:48:43 GMT 2024","Fri Jan 19 00:48:47 GMT 2024","3679","","","","","","Validate Council Output [NorthLincolnshireCouncil-None-None]",""
"passed","Fri Jan 19 00:48:33 GMT 2024","Fri Jan 19 00:48:34 GMT 2024","1398","","","","","","Validate Council Output [GedlingBoroughCouncil-None-None]",""
"passed","Fri Jan 19 00:48:19 GMT 2024","Fri Jan 19 00:48:20 GMT 2024","1097","","","","","","Validate Council Output [DorsetCouncil-None-None]",""
"passed","Fri Jan 19 00:49:13 GMT 2024","Fri Jan 19 00:49:16 GMT 2024","3320","","","","","","Validate Council Output [WiganBoroughCouncil-None-None]",""
"failed","Fri Jan 19 00:48:14 GMT 2024","Fri Jan 19 00:48:15 GMT 2024","1067","","","","","","Validate Council Output [BromleyBoroughCouncil-http://selenium:4444-local]",""
"passed","Fri Jan 19 00:48:47 GMT 2024","Fri Jan 19 00:48:50 GMT 2024","3314","","","","","","Validate Council Output [RhonddaCynonTaffCouncil-None-None]",""
"passed","Fri Jan 19 00:48:19 GMT 2024","Fri Jan 19 00:48:22 GMT 2024","2744","","","","","","Validate Council Output [BedfordshireCouncil-None-None]",""
"failed","Fri Jan 19 00:48:59 GMT 2024","Fri Jan 19 00:49:00 GMT 2024","1051","","","","","","Validate Council Output [SouthTynesideCouncil-None-None]",""
"failed","Fri Jan 19 00:48:36 GMT 2024","Fri Jan 19 00:48:36 GMT 2024","3","","","","","","Validate Council Output [NorthEastLincs-None-None]",""
"failed","Fri Jan 19 00:48:39 GMT 2024","Fri Jan 19 00:48:44 GMT 2024","5778","","","","","","Validate Council Output [MertonCouncil-None-None]",""
"failed","Fri Jan 19 00:48:36 GMT 2024","Fri Jan 19 00:48:36 GMT 2024","67","","","","","","Validate Council Output [NorthEastDerbyshireDistrictCouncil-http://selenium:4444-local]",""
"passed","Fri Jan 19 00:48:50 GMT 2024","Fri Jan 19 00:48:53 GMT 2024","2402","","","","","","Validate Council Output [SheffieldCityCouncil-None-None]",""
"failed","Fri Jan 19 00:49:13 GMT 2024","Fri Jan 19 00:49:13 GMT 2024","170","","","","","","Validate Council Output [WestLothianCouncil-http://selenium:4444-local]",""
"failed","Fri Jan 19 00:48:47 GMT 2024","Fri Jan 19 00:48:47 GMT 2024","173","","","","","","Validate Council Output [NorthNorfolkDistrictCouncil-http://selenium:4444-local]",""
"failed","Fri Jan 19 00:48:15 GMT 2024","Fri Jan 19 00:48:17 GMT 2024","1748","","","","","","Validate Council Output [CroydonCouncil-None-None]",""
"failed","Fri Jan 19 00:49:13 GMT 2024","Fri Jan 19 00:49:13 GMT 2024","3","","","","","","Validate Council Output [WestSuffolkCouncil-http://selenium:4444-local]",""
